지역,업소명,사업자명(대표자),소재지,총면적(제곱미터) ,홀수(홀),세부종류
강원,파크밸리골프클럽,강원레저개발㈜(설경원),강원도 원주시 소초면 바우실길 281,1072958,18,대중제
강원,동서울레스피아,㈜동서울레스피아(김유근),강원도 원주시 지정면 신평석화로 236,263484,9,대중제
강원,인터불고원주골프클럽,㈜호텔인터불고 원주(김삼남),강원도 원주시 동부순환로 200,158529,9,대중제
강원,샌드파인골프클럽,㈜승산(허인영),강원도 강릉시 저동등길 53,911927,18,회원제
강원,메이플비치골프&리조트,원익엘앤디㈜(이재천),강원도 강릉시 강동면 새목이길 110,776652,18,대중제
강원,오투리조트 C.C,㈜오투리조트(김영윤),강원도 태백시 서학로 861,1079900,18,대중제
강원,오투리조트 골프,㈜오투리조트(김영윤),강원도 태백시 서학로 861,467900,9,대중제
강원,설악프라자컨트리클럽,한화호텔앤드리조트㈜(김형조),강원도 속초시 미시령로 2983번길 56-20,834352,18,회원제
강원,영랑호컨트리클럽,㈜신세계영랑호리조트(송태승),강원도 속초시 영랑호반길 170,236439,9,대중제
강원,파인밸리컨트리클럽,㈜동양레저(강선),강원도 삼척시 근덕면 미근로 1629,969816,18,대중제
강원,블랙밸리컨트리클럽,블랙밸리C․C㈜(최승희),강원도 삼척시 도계읍 도상로 307-84,979681,18,대중제
강원,소노펠리체 컨트리클럽 비발디파크 웨스트,"㈜소노인터내셔널(민병소, 유태완)",강원도 홍천군 서면 한치골길 200,1031267,18,대중제
강원,소노펠리체 컨트리클럽 비발디파크 마운틴,"㈜소노인터내셔널(민병소, 유태완)",강원도 홍천군 서면 한치골길 262,489900,9,대중제
강원,소노펠리체 컨트리클럽 비발디파크 이스트,"㈜소노인터내셔널(민병소, 유태완)",강원도 홍천군 서면 한치골길 541-123,1306750,18,대중제
강원,비콘힐스골프클럽,우신물산㈜(박준엽),강원도 홍천군 홍천읍 높은터로 533,889200,18,대중제
강원,힐드로사이컨트리클럽,㈜이지아이아이앤디(황인택),강원도 홍천군 남면 한서로 2840,1031837,18,대중제
강원,클럽모우골프 &라이프스타일,㈜와이에이치레저개발(박윤하),강원도 홍천군 서면 장락동길66번길 51,1630602,27,대중제
강원,세이지우드CC홍천,와이케이디벨롭먼트㈜(김승건),강원도 홍천군 두촌면 광석로 898-160,1346136,27,대중제
강원,샤인데일골프&리조트,세안레져산업㈜(오성배),강원도 홍천군 서면 한서로 247-156,1698102,27,대중제
강원,웰리힐리컨트리클럽,신안종합리조트㈜(민영민),강원도 횡성군 둔내면 고원로 451,1899828,36,회원제
강원,웰리힐리퍼블릭골프장,신안종합리조트㈜(민영민),강원도 횡성군 둔내면 고원로 451,243350,10,대중제
강원,동원썬밸리컨트리클럽,성운개발㈜(정철희),강원도 횡성군 서원면 서원서로339번길 90,1097999,18,대중제
강원,알프스대영컨트리클럽,삼대양레저㈜(유두열),강원도 횡성군 우천면 하우로 1295,746919,18,대중제
강원,벨라스톤컨트리클럽,(주)진원(원연식),강원도 횡성군 서원면 옥계9길 124,947483,18,대중제
강원,에스엘세레스 옥스필드 CC,㈜에스엘세레스(최승현),강원도 횡성군 서원면 경강로 유현6길 28,1033598,18,대중제
강원,동강시스타대중골프장,㈜동강시스타(김오연),강원도 영월군 영월읍 사지막길 160,293133,9,대중제
강원,용평리조트골프클럽,(주)에이치제이매그놀리아 용평호텔앤리조트(신달순),강원도 평창군 대관령면 올림픽로 715,838497,18,회원제
강원,용평버치힐골프클럽,(주)에이치제이매그놀리아 용평호텔앤리조트(신달순),강원도 평창군 대관령면 올림픽로 715,983642,18,회원제
강원,용평리조트대중골프장,(주)에이치제이매그놀리아 용평호텔앤리조트(신달순),강원도 평창군 대관령면 올림픽로 715,268581,9,대중제
강원,휘닉스 컨트리클럽,휘닉스중앙 주식회사(이윤규),강원도 평창군 봉평면 태기로 227-84,1058644,18,회원제
강원,휘닉스대중골프장,휘닉스중앙 주식회사(이윤규),강원도 평창군 봉평면 태기로 227-84,190188,6,대중제
강원,알펜시아컨트리클럽,강원도개발공사(이만희),강원도 평창군 대관령면 솔봉로 325,1491721,27,회원제
강원,알펜시아 700골프클럽,강원도개발공사(이만희),강원도 평창군 대관령면 솔봉로 325,1270178,18,대중제
강원,하이원컨트리클럽,㈜강원랜드(이삼걸),강원도 정선군 고한읍 하이원길 265,1079662,18,대중제
강원,에콜리안정선골프장,"정선군,국민체육진흥공단",강원도 정선군 신동읍 새골길 112-49,504138,9,대중제
